destination,number_of_days,number_of_people,travel_mode,travel_type,destination_count,estimated_food_cost,actual_food_cost,estimated_total_cost,actual_total_cost,source_role,trip_id,created_at_utc
bali,7,1,bus,solo,2,5120.53,4429.05,57937.77,58305.81,traveler,2578,2024-01-13T12:39:00+00:00
mumbai,3,3,flight,friends,2,6689.71,6323.34,26934.01,27767.99,traveler,2579,2024-01-13T12:46:00+00:00
dubai,9,6,train,friends,1,24635.97,24948.71,465747.38,535419.53,traveler,2580,2024-01-13T12:53:00+00:00
goa,12,4,flight,friends,2,32869.63,28521.66,150085.8,159401.0,traveler,2581,2024-01-13T13:00:00+00:00
delhi,10,2,train,friends,1,10539.74,12701.23,32346.85,33017.23,traveler,2582,2024-01-13T13:07:00+00:00
new york,4,5,train,family,1,20124.39,24403.64,279749.27,282977.77,traveler,2583,2024-01-13T13:14:00+00:00
goa,10,7,train,friends,4,41328.31,42974.1,162365.35,169468.74,agent,2584,2024-01-13T13:21:00+00:00
dubai,12,8,bus,family,3,55853.99,69072.08,687103.71,790440.36,traveler,2585,2024-01-13T13:28:00+00:00
new york,10,1,train,solo,3,11175.62,9840.81,126649.86,132404.68,agent,2586,2024-01-13T13:35:00+00:00
jaipur,2,7,flight,family,1,8527.46,8830.0,35004.18,38670.66,traveler,2587,2024-01-13T13:42:00+00:00
new york,8,7,bus,family,1,49171.75,60720.3,612402.98,643648.25,agent,2588,2024-01-13T13:49:00+00:00
manali,4,7,flight,friends,1,13961.34,13201.7,74512.0,67669.11,traveler,2589,2024-01-13T13:56:00+00:00
new york,5,1,bus,solo,2,5626.06,4455.38,57245.62,64113.39,traveler,2590,2024-01-13T14:03:00+00:00
jaipur,12,8,train,family,1,48885.55,63410.58,141586.16,145409.08,traveler,2591,2024-01-13T14:10:00+00:00
manali,2,1,flight,solo,1,1571.27,1418.37,6169.0,6251.81,agent,2592,2024-01-13T14:17:00+00:00
singapore,7,3,bus,friends,3,14989.85,11709.64,184383.36,193855.83,traveler,2593,2024-01-13T14:24:00+00:00
delhi,10,6,flight,friends,1,34515.89,32807.46,131119.89,123853.33,agent,2594,2024-01-13T14:31:00+00:00
dubai,8,2,train,friends,2,8553.72,8162.19,139705.87,164417.68,agent,2595,2024-01-13T14:38:00+00:00
manali,12,6,train,family,1,38020.77,31096.75,129259.48,139905.87,agent,2596,2024-01-13T14:45:00+00:00
tokyo,9,3,flight,friends,2,16781.72,16562.28,506794.79,520925.85,traveler,2597,2024-01-13T14:52:00+00:00
jaipur,9,2,train,couple,2,10858.75,9986.03,27255.1,27810.81,traveler,2598,2024-01-13T14:59:00+00:00
mumbai,6,2,flight,couple,2,8953.71,7721.1,32115.92,36927.19,traveler,2599,2024-01-13T15:06:00+00:00
new york,3,7,bus,family,1,17819.28,20659.87,262752.5,285204.12,traveler,2600,2024-01-13T15:13:00+00:00
new york,10,4,flight,family,2,49991.78,52182.81,700116.86,687320.78,traveler,2601,2024-01-13T15:20:00+00:00
tokyo,3,4,bus,family,1,7487.55,7834.57,160720.73,172978.01,traveler,2602,2024-01-13T15:27:00+00:00
mumbai,6,1,bus,solo,1,4140.98,4405.01,10290.24,10580.51,agent,2603,2024-01-13T15:34:00+00:00
jaipur,6,6,flight,friends,2,18031.41,17411.27,75972.83,72184.2,agent,2604,2024-01-13T15:41:00+00:00
paris,3,2,train,couple,1,5070.85,5983.27,105900.67,114783.99,traveler,2605,2024-01-13T15:48:00+00:00
jaipur,3,1,flight,solo,2,2132.39,2528.43,6807.97,7963.87,traveler,2606,2024-01-13T15:55:00+00:00
paris,5,5,bus,family,5,24702.13,26103.8,348017.16,350680.48,traveler,2607,2024-01-13T16:02:00+00:00
goa,12,4,flight,family,4,44049.7,50817.53,151386.62,142772.16,agent,2608,2024-01-13T16:09:00+00:00
bali,11,5,bus,family,2,38838.81,45436.65,447416.77,501709.83,traveler,2609,2024-01-13T16:16:00+00:00
singapore,10,2,bus,friends,1,14026.61,15917.62,171286.89,192162.22,traveler,2610,2024-01-13T16:23:00+00:00
delhi,4,3,bus,family,3,8682.05,10689.77,17745.35,19725.0,traveler,2611,2024-01-13T16:30:00+00:00
new york,9,6,train,friends,1,39897.25,31914.77,689684.1,750681.93,traveler,2612,2024-01-13T16:37:00+00:00
dubai,9,2,bus,friends,1,9501.61,11623.22,132056.3,128772.1,traveler,2613,2024-01-13T16:44:00+00:00
dubai,9,4,bus,friends,1,16800.26,14330.35,265480.34,300367.42,traveler,2614,2024-01-13T16:51:00+00:00
goa,3,6,train,family,1,12556.28,14256.82,48857.19,54085.93,agent,2615,2024-01-13T16:58:00+00:00
paris,7,2,flight,friends,3,13149.44,16688.14,298247.08,314033.59,agent,2616,2024-01-13T17:05:00+00:00
paris,7,2,train,couple,1,12247.69,11213.72,218781.66,238833.3,agent,2617,2024-01-13T17:12:00+00:00
bali,11,3,bus,friends,3,21423.01,27094.19,267392.66,253972.65,agent,2618,2024-01-13T17:19:00+00:00
bali,4,2,bus,couple,4,5819.8,7402.52,71419.94,68710.45,traveler,2619,2024-01-13T17:26:00+00:00
bali,10,6,train,family,2,45758.07,38123.55,579988.95,661724.51,agent,2620,2024-01-13T17:33:00+00:00
singapore,8,4,flight,friends,2,26124.29,20725.52,449284.74,485600.35,traveler,2621,2024-01-13T17:40:00+00:00
new york,4,3,flight,family,4,16648.61,13121.25,227899.15,225557.17,traveler,2622,2024-01-13T17:47:00+00:00
dubai,9,4,bus,family,3,22761.21,20051.78,259756.06,279465.25,traveler,2623,2024-01-13T17:54:00+00:00
manali,6,2,flight,friends,1,7032.8,8873.19,30587.61,28498.33,traveler,2624,2024-01-13T18:01:00+00:00
tokyo,11,8,flight,family,1,56614.44,64904.87,1645077.24,1748640.69,traveler,2625,2024-01-13T18:08:00+00:00
delhi,11,5,bus,family,3,34486.72,32415.51,75297.2,74624.71,traveler,2626,2024-01-13T18:15:00+00:00
paris,5,4,train,friends,1,13733.45,15917.69,327991.15,328814.68,agent,2627,2024-01-13T18:22:00+00:00
tokyo,11,7,flight,friends,1,42798.64,45056.39,1436673.57,1388806.01,traveler,2628,2024-01-13T18:29:00+00:00
new york,7,1,train,solo,3,7747.35,9909.61,91373.8,89035.66,agent,2629,2024-01-13T18:36:00+00:00
singapore,11,5,train,family,2,46102.95,58744.43,556657.25,624506.64,traveler,2630,2024-01-13T18:43:00+00:00
mumbai,9,3,flight,friends,1,18080.11,23015.02,70977.98,66305.06,traveler,2631,2024-01-13T18:50:00+00:00
mumbai,6,5,flight,family,1,24165.97,20503.61,81417.5,84172.98,traveler,2632,2024-01-13T18:57:00+00:00
tokyo,6,2,flight,couple,3,9454.37,11584.97,232756.15,232180.91,traveler,2633,2024-01-13T19:04:00+00:00
paris,11,4,bus,friends,1,31127.39,37380.37,569021.34,580334.9,traveler,2634,2024-01-13T19:11:00+00:00
singapore,12,2,bus,couple,3,20533.81,24476.17,205402.7,210730.5,traveler,2635,2024-01-13T19:18:00+00:00
bali,11,6,bus,family,1,42774.66,40879.88,533804.15,530836.14,agent,2636,2024-01-13T19:25:00+00:00
tokyo,7,3,bus,family,2,13369.16,14517.94,255718.53,299208.56,agent,2637,2024-01-13T19:32:00+00:00
tokyo,7,7,flight,family,2,34947.87,30490.02,930528.98,871059.91,agent,2638,2024-01-13T19:39:00+00:00
new york,7,1,train,solo,4,9387.76,11288.38,92067.73,93897.12,traveler,2639,2024-01-13T19:46:00+00:00
jaipur,11,3,bus,friends,3,16653.86,13361.31,41086.63,46200.03,traveler,2640,2024-01-13T19:53:00+00:00
tokyo,10,8,train,family,2,45216.56,57804.84,1106572.68,1036544.13,agent,2641,2024-01-13T20:00:00+00:00
dubai,8,6,train,friends,3,26557.72,32708.82,415153.93,381687.51,traveler,2642,2024-01-13T20:07:00+00:00
manali,2,6,train,family,1,6394.52,7092.57,26899.06,28393.38,traveler,2643,2024-01-13T20:14:00+00:00
jaipur,12,3,train,friends,1,17867.52,18812.56,52706.89,53089.48,traveler,2644,2024-01-13T20:21:00+00:00
tokyo,12,5,flight,friends,1,34060.94,41628.52,1105998.49,1302124.82,traveler,2645,2024-01-13T20:28:00+00:00
manali,6,7,train,family,2,23518.85,29956.37,78695.96,84997.99,traveler,2646,2024-01-13T20:35:00+00:00
tokyo,2,1,bus,solo,1,1260.45,1320.9,29661.61,32830.94,traveler,2647,2024-01-13T20:42:00+00:00
jaipur,7,1,flight,solo,1,4686.92,5992.33,14523.93,15209.92,agent,2648,2024-01-13T20:49:00+00:00
paris,7,2,train,couple,2,13719.77,15959.71,223130.41,212714.38,traveler,2649,2024-01-13T20:56:00+00:00
singapore,9,3,flight,friends,1,23400.54,18338.63,370448.77,365026.68,traveler,2650,2024-01-13T21:03:00+00:00
bali,11,6,flight,family,1,49582.92,44985.06,849454.44,826917.82,traveler,2651,2024-01-13T21:10:00+00:00
new york,12,4,bus,family,1,41332.01,35786.52,523018.93,539789.54,traveler,2652,2024-01-13T21:17:00+00:00
mumbai,8,1,flight,solo,1,6846.21,8141.51,20934.0,24115.1,traveler,2653,2024-01-13T21:24:00+00:00
manali,12,8,flight,family,2,58154.89,64343.84,232422.84,240667.65,traveler,2654,2024-01-13T21:31:00+00:00
jaipur,4,5,flight,friends,4,11169.71,12305.43,44364.15,46274.47,agent,2655,2024-01-13T21:38:00+00:00
goa,7,7,train,family,1,32643.98,34862.98,116639.2,128801.84,traveler,2656,2024-01-13T21:45:00+00:00
jaipur,7,7,train,family,1,24989.71,21063.41,75840.65,78211.15,traveler,2657,2024-01-13T21:52:00+00:00
mumbai,8,1,bus,solo,2,5560.37,6613.22,13267.96,14646.83,agent,2658,2024-01-13T21:59:00+00:00
singapore,10,1,flight,solo,2,12156.17,15529.25,137877.83,159842.37,traveler,2659,2024-01-13T22:06:00+00:00
manali,8,6,bus,family,2,26213.92,28827.47,75870.63,84025.09,agent,2660,2024-01-13T22:13:00+00:00
singapore,3,2,flight,friends,2,5608.41,6291.34,94812.72,100866.46,traveler,2661,2024-01-13T22:20:00+00:00
new york,9,8,flight,family,2,71960.36,62361.8,1249780.23,1353423.89,traveler,2662,2024-01-13T22:27:00+00:00
jaipur,12,8,flight,family,2,60461.24,53547.92,189958.17,200532.07,traveler,2663,2024-01-13T22:34:00+00:00
goa,5,6,flight,family,1,22763.93,26481.28,100093.37,114817.28,traveler,2664,2024-01-13T22:41:00+00:00
singapore,5,7,flight,friends,1,26645.14,28695.29,514487.51,500642.97,traveler,2665,2024-01-13T22:48:00+00:00
bali,6,3,bus,family,3,14547.04,16831.15,152360.86,144823.41,traveler,2666,2024-01-13T22:55:00+00:00
dubai,6,7,bus,friends,3,19444.55,17055.46,314517.03,298417.71,traveler,2667,2024-01-13T23:02:00+00:00
dubai,7,3,flight,friends,1,13604.33,13925.74,249823.2,261704.8,traveler,2668,2024-01-13T23:09:00+00:00
tokyo,10,6,train,family,1,38787.77,36847.45,831336.88,883114.2,traveler,2669,2024-01-13T23:16:00+00:00
bali,9,2,bus,friends,1,10008.6,12034.41,149578.31,166147.06,traveler,2670,2024-01-13T23:23:00+00:00
manali,9,7,train,friends,1,28022.51,34432.62,115212.57,121368.87,traveler,2671,2024-01-13T23:30:00+00:00
delhi,7,1,train,solo,3,5343.23,5707.58,11327.92,12119.09,agent,2672,2024-01-13T23:37:00+00:00
delhi,3,8,bus,friends,1,10107.18,10873.7,36911.26,36830.34,traveler,2673,2024-01-13T23:44:00+00:00
jaipur,8,2,bus,friends,2,7354.38,7703.37,20417.38,19431.3,traveler,2674,2024-01-13T23:51:00+00:00
singapore,11,1,train,solo,1,9664.66,11749.17,109778.07,121872.31,agent,2675,2024-01-13T23:58:00+00:00
singapore,5,2,train,friends,1,7187.46,6735.32,108574.98,125763.76,traveler,2676,2024-01-14T00:05:00+00:00
bali,5,6,bus,friends,3,17104.2,14315.02,258889.91,237814.81,agent,2677,2024-01-14T00:12:00+00:00
mumbai,10,5,train,family,1,35305.6,44034.57,95896.27,109602.33,traveler,2678,2024-01-14T00:19:00+00:00
tokyo,10,2,bus,couple,2,12626.56,14640.23,237203.8,252462.23,traveler,2679,2024-01-14T00:26:00+00:00
new york,10,6,train,family,1,56344.68,63103.36,771373.0,852967.44,traveler,2680,2024-01-14T00:33:00+00:00
singapore,7,5,bus,family,1,25248.76,25150.39,306911.46,316618.16,traveler,2681,2024-01-14T00:40:00+00:00
goa,8,5,bus,family,1,26695.95,22838.27,80627.59,73657.87,traveler,2682,2024-01-14T00:47:00+00:00
mumbai,11,2,bus,couple,1,12839.47,14600.12,35692.47,39122.96,traveler,2683,2024-01-14T00:54:00+00:00
singapore,12,7,bus,family,2,59525.73,65182.78,711093.76,788521.84,traveler,2684,2024-01-14T01:01:00+00:00
manali,12,3,bus,friends,1,15306.64,13377.51,54381.86,50785.47,traveler,2685,2024-01-14T01:08:00+00:00
delhi,9,7,flight,family,2,46630.56,58814.0,136728.89,152150.07,agent,2686,2024-01-14T01:15:00+00:00
tokyo,10,8,bus,family,2,45059.46,36013.87,946812.09,1003741.51,traveler,2687,2024-01-14T01:22:00+00:00
tokyo,12,1,train,solo,1,8448.58,9490.93,166844.09,171431.65,agent,2688,2024-01-14T01:29:00+00:00
goa,10,6,bus,friends,3,29208.01,34391.48,119847.98,117327.89,traveler,2689,2024-01-14T01:36:00+00:00
manali,9,3,train,friends,3,15018.34,16597.98,49242.6,46257.08,traveler,2690,2024-01-14T01:43:00+00:00
dubai,6,1,flight,solo,1,4914.34,6342.61,72417.02,68219.43,traveler,2691,2024-01-14T01:50:00+00:00
tokyo,12,7,bus,family,3,50474.19,57758.89,978515.8,981141.76,agent,2692,2024-01-14T01:57:00+00:00
goa,5,8,flight,friends,3,22175.32,25854.17,136108.82,147466.26,agent,2693,2024-01-14T02:04:00+00:00
goa,9,6,bus,family,2,34458.17,29174.55,108776.16,119053.0,traveler,2694,2024-01-14T02:11:00+00:00
jaipur,8,6,train,family,1,27608.62,23238.13,71656.53,70017.7,traveler,2695,2024-01-14T02:18:00+00:00
tokyo,4,8,train,family,1,17612.94,16549.32,487930.19,565377.21,traveler,2696,2024-01-14T02:25:00+00:00
jaipur,9,2,bus,couple,4,11135.29,13193.44,23068.17,23748.18,agent,2697,2024-01-14T02:32:00+00:00
tokyo,9,3,train,family,1,17859.04,15434.07,381050.96,367571.63,traveler,2698,2024-01-14T02:39:00+00:00
delhi,8,7,flight,family,2,37569.32,43347.38,122000.7,142730.85,traveler,2699,2024-01-14T02:46:00+00:00
dubai,8,4,flight,family,1,22806.43,19289.02,368952.13,361127.27,traveler,2700,2024-01-14T02:53:00+00:00
new york,3,6,train,friends,1,12880.02,15833.52,265091.71,300024.15,traveler,2701,2024-01-14T03:00:00+00:00
singapore,2,1,bus,solo,1,1661.41,1909.58,21327.86,20899.76,traveler,2702,2024-01-14T03:07:00+00:00
new york,2,2,flight,couple,1,4710.38,4667.42,86129.15,89487.19,agent,2703,2024-01-14T03:14:00+00:00
mumbai,7,2,train,friends,1,8871.11,8341.46,27934.06,25648.13,traveler,2704,2024-01-14T03:21:00+00:00
new york,12,2,flight,friends,5,27515.62,27545.57,415279.63,393807.64,traveler,2705,2024-01-14T03:28:00+00:00
mumbai,8,8,flight,family,1,46703.17,42526.59,170396.7,174072.46,traveler,2706,2024-01-14T03:35:00+00:00
singapore,5,5,flight,family,3,27966.78,29291.71,358053.32,326130.9,traveler,2707,2024-01-14T03:42:00+00:00
goa,9,3,bus,family,3,19946.06,16599.03,53474.85,54096.16,agent,2708,2024-01-14T03:49:00+00:00
goa,10,1,bus,solo,1,6518.01,6833.91,19751.99,20787.47,traveler,2709,2024-01-14T03:56:00+00:00
singapore,4,8,train,friends,2,19971.51,17116.16,355870.07,323320.41,traveler,2710,2024-01-14T04:03:00+00:00
jaipur,2,5,flight,friends,2,5215.06,4597.87,25340.19,23107.37,traveler,2711,2024-01-14T04:10:00+00:00
singapore,2,4,flight,friends,1,6077.72,4992.53,135695.72,123942.24,agent,2712,2024-01-14T04:17:00+00:00
jaipur,12,3,bus,friends,2,15755.06,14748.67,44932.61,50517.17,traveler,2713,2024-01-14T04:24:00+00:00
manali,4,2,train,friends,1,4105.06,3589.86,15956.39,16736.24,traveler,2714,2024-01-14T04:31:00+00:00
singapore,8,1,bus,solo,1,6872.75,6895.65,70309.59,68274.34,traveler,2715,2024-01-14T04:38:00+00:00
tokyo,5,3,bus,friends,1,7014.26,7918.72,185958.37,212774.88,traveler,2716,2024-01-14T04:45:00+00:00
mumbai,5,8,train,family,3,28518.86,28762.06,81445.38,79098.28,traveler,2717,2024-01-14T04:52:00+00:00
jaipur,3,2,flight,couple,2,3687.52,3998.29,13815.9,14463.76,agent,2718,2024-01-14T04:59:00+00:00
manali,10,1,flight,solo,2,7677.85,6116.82,24192.57,28410.55,traveler,2719,2024-01-14T05:06:00+00:00
delhi,5,6,bus,family,1,16815.01,18268.56,42751.08,47514.7,agent,2720,2024-01-14T05:13:00+00:00
manali,8,1,flight,solo,1,5956.46,6710.54,19972.23,18670.25,traveler,2721,2024-01-14T05:20:00+00:00
new york,4,8,bus,family,2,27315.52,29031.38,382541.26,445130.15,traveler,2722,2024-01-14T05:27:00+00:00
manali,8,7,flight,family,2,38155.67,42282.54,140479.66,137034.5,traveler,2723,2024-01-14T05:34:00+00:00
goa,9,4,train,friends,5,22194.49,26365.23,86125.8,78533.22,traveler,2724,2024-01-14T05:41:00+00:00
mumbai,6,4,flight,friends,3,16228.84,19663.96,64931.9,73378.19,agent,2725,2024-01-14T05:48:00+00:00
dubai,4,6,train,family,2,16522.07,18376.15,219873.52,237781.68,traveler,2726,2024-01-14T05:55:00+00:00
manali,2,4,flight,family,2,6047.15,5918.67,24032.72,25374.51,traveler,2727,2024-01-14T06:02:00+00:00
new york,6,2,bus,couple,1,10019.41,8941.99,135625.55,132948.76,traveler,2728,2024-01-14T06:09:00+00:00
new york,3,7,bus,family,1,16776.59,14605.4,256811.06,254307.02,traveler,2729,2024-01-14T06:16:00+00:00
manali,6,8,train,friends,4,23160.44,25232.44,90218.52,95920.5,agent,2730,2024-01-14T06:23:00+00:00
goa,10,7,flight,friends,1,36385.0,41841.77,224598.55,259433.75,traveler,2731,2024-01-14T06:30:00+00:00
singapore,6,2,train,couple,5,12473.63,9900.07,128217.19,132170.79,traveler,2732,2024-01-14T06:37:00+00:00
delhi,9,7,bus,friends,2,27437.89,22671.7,86638.64,79307.13,traveler,2733,2024-01-14T06:44:00+00:00
tokyo,2,5,train,family,1,6614.06,7318.07,170853.07,158316.19,agent,2734,2024-01-14T06:51:00+00:00
new york,10,4,bus,family,4,44925.89,40537.06,435330.07,475213.67,agent,2735,2024-01-14T06:58:00+00:00
mumbai,6,2,bus,couple,2,8314.51,9857.85,20551.08,21077.24,traveler,2736,2024-01-14T07:05:00+00:00
goa,2,4,flight,friends,2,5678.36,6587.45,31425.59,33012.6,traveler,2737,2024-01-14T07:12:00+00:00
dubai,9,3,flight,family,4,23974.01,28863.89,312023.45,355205.05,agent,2738,2024-01-14T07:19:00+00:00
singapore,7,5,bus,friends,3,23066.53,19650.03,312823.93,347920.63,traveler,2739,2024-01-14T07:26:00+00:00
tokyo,8,2,flight,friends,1,10089.66,12734.09,305781.83,324099.55,traveler,2740,2024-01-14T07:33:00+00:00
paris,7,3,flight,friends,1,16734.47,14554.62,444422.03,501007.48,traveler,2741,2024-01-14T07:40:00+00:00
delhi,3,8,flight,family,1,15781.11,13078.16,59043.54,67069.09,agent,2742,2024-01-14T07:47:00+00:00
delhi,9,5,bus,family,1,27310.36,22601.56,60737.05,65682.66,traveler,2743,2024-01-14T07:54:00+00:00
new york,5,3,train,friends,3,14038.01,15259.64,204951.14,229875.19,traveler,2744,2024-01-14T08:01:00+00:00
new york,6,3,bus,friends,4,14881.11,17226.77,200501.2,202463.96,agent,2745,2024-01-14T08:08:00+00:00
manali,8,1,train,solo,2,5710.75,6427.92,14904.79,13623.08,traveler,2746,2024-01-14T08:15:00+00:00
goa,5,8,train,family,2,24298.27,28940.33,99736.9,111828.27,traveler,2747,2024-01-14T08:22:00+00:00
manali,11,1,train,solo,1,6567.18,8194.42,19596.51,21161.32,traveler,2748,2024-01-14T08:29:00+00:00
dubai,8,7,train,family,3,37149.56,39759.59,490875.88,487599.74,traveler,2749,2024-01-14T08:36:00+00:00
delhi,6,6,bus,family,4,24161.48,29638.32,51358.47,55693.98,traveler,2750,2024-01-14T08:43:00+00:00
paris,11,8,flight,family,2,89300.97,112665.5,1812519.98,1987542.51,traveler,2751,2024-01-14T08:50:00+00:00
delhi,6,8,train,family,1,26686.87,24490.87,79559.62,85232.63,traveler,2752,2024-01-14T08:57:00+00:00
singapore,5,8,flight,family,1,32210.37,25318.64,575381.64,608197.54,traveler,2753,2024-01-14T09:04:00+00:00
bali,11,1,train,solo,1,9619.73,9282.05,103409.35,115075.35,agent,2754,2024-01-14T09:11:00+00:00
bali,7,1,flight,solo,1,6523.95,5512.93,94253.83,98090.83,traveler,2755,2024-01-14T09:18:00+00:00
delhi,7,1,bus,solo,3,4880.38,5163.46,9686.05,10162.19,traveler,2756,2024-01-14T09:25:00+00:00
tokyo,3,4,train,family,3,8127.07,7431.69,187058.66,193468.53,agent,2757,2024-01-14T09:32:00+00:00
mumbai,4,4,flight,family,1,13031.45,13043.9,44830.75,48170.95,traveler,2758,2024-01-14T09:39:00+00:00
bali,10,8,flight,family,1,62635.99,67958.73,1039786.56,1156110.4,traveler,2759,2024-01-14T09:46:00+00:00
paris,10,3,bus,friends,2,22325.46,26873.81,399247.38,470953.05,agent,2760,2024-01-14T09:53:00+00:00
jaipur,12,2,bus,friends,1,10233.65,11812.21,30010.94,34525.9,traveler,2761,2024-01-14T10:00:00+00:00
mumbai,7,8,train,friends,1,25798.38,27585.51,109010.49,100990.67,traveler,2762,2024-01-14T10:07:00+00:00
singapore,5,4,bus,family,1,15366.69,19229.01,181771.3,177764.45,traveler,2763,2024-01-14T10:14:00+00:00
tokyo,8,3,train,friends,1,11990.37,11334.49,340160.3,309150.75,traveler,2764,2024-01-14T10:21:00+00:00
goa,10,7,bus,family,1,40758.66,40313.32,139280.2,127816.09,agent,2765,2024-01-14T10:28:00+00:00
dubai,10,7,train,family,4,48974.26,57870.34,592921.65,554676.8,traveler,2766,2024-01-14T10:35:00+00:00
goa,2,5,flight,family,2,8247.9,8778.13,38791.92,45301.18,traveler,2767,2024-01-14T10:42:00+00:00
bali,8,8,flight,friends,1,37884.87,31459.1,840334.44,775034.95,traveler,2768,2024-01-14T10:49:00+00:00
bali,2,3,flight,friends,2,4653.3,5661.5,95985.73,103118.75,agent,2769,2024-01-14T10:56:00+00:00
tokyo,2,5,train,family,2,6672.06,7343.02,171093.9,179777.44,agent,2770,2024-01-14T11:03:00+00:00
jaipur,9,2,flight,couple,5,13330.25,14685.19,36930.62,37790.99,agent,2771,2024-01-14T11:10:00+00:00
goa,11,1,flight,solo,1,9110.46,11334.43,34794.06,32194.35,traveler,2772,2024-01-14T11:17:00+00:00
goa,9,8,flight,family,1,50656.84,42426.93,229819.44,246328.56,traveler,2773,2024-01-14T11:24:00+00:00
paris,6,7,flight,family,1,40980.84,42146.07,909474.15,910536.87,traveler,2774,2024-01-14T11:31:00+00:00
mumbai,9,2,bus,couple,2,11468.58,9365.24,29631.72,27320.74,traveler,2775,2024-01-14T11:38:00+00:00
singapore,10,3,flight,friends,3,27284.36,32224.79,409568.14,461215.13,traveler,2776,2024-01-14T11:45:00+00:00
paris,8,6,train,family,1,42829.44,36207.87,749764.11,782833.94,traveler,2777,2024-01-14T11:52:00+00:00
jaipur,6,1,train,solo,1,3433.32,3544.78,9383.91,8574.66,traveler,2778,2024-01-14T11:59:00+00:00
singapore,11,1,bus,solo,2,9722.06,8270.18,93195.53,97715.4,traveler,2779,2024-01-14T12:06:00+00:00
tokyo,11,5,bus,family,1,31286.93,30505.48,648863.91,741165.77,agent,2780,2024-01-14T12:13:00+00:00
singapore,11,3,flight,family,2,35694.28,37075.72,450054.35,411349.97,agent,2781,2024-01-14T12:20:00+00:00
bali,12,1,bus,solo,1,8267.91,9847.59,95606.51,94364.37,traveler,2782,2024-01-14T12:27:00+00:00
delhi,2,7,flight,family,2,9842.27,12244.58,37430.24,39673.77,agent,2783,2024-01-14T12:34:00+00:00
tokyo,5,1,bus,solo,1,3126.71,2797.72,62281.59,69677.69,agent,2784,2024-01-14T12:41:00+00:00
singapore,12,8,bus,family,1,70886.72,68912.91,809552.94,909694.95,agent,2785,2024-01-14T12:48:00+00:00
goa,4,4,flight,family,3,13323.08,13292.99,55674.8,61028.91,traveler,2786,2024-01-14T12:55:00+00:00
bali,11,4,flight,friends,1,30543.73,27459.71,573808.46,525055.25,traveler,2787,2024-01-14T13:02:00+00:00
jaipur,12,5,train,family,1,31636.87,27554.2,87319.52,85778.46,agent,2788,2024-01-14T13:09:00+00:00
new york,3,4,train,family,1,12898.74,14715.57,175635.56,181379.82,traveler,2789,2024-01-14T13:16:00+00:00
new york,11,7,bus,friends,2,52328.71,43636.98,826666.28,784940.88,traveler,2790,2024-01-14T13:23:00+00:00
bali,10,6,bus,family,1,41874.13,43622.27,495504.1,578665.88,traveler,2791,2024-01-14T13:30:00+00:00
delhi,12,5,flight,family,1,41312.24,48560.74,128854.05,151305.59,traveler,2792,2024-01-14T13:37:00+00:00
delhi,4,1,flight,solo,1,3296.32,3250.05,9285.41,10205.32,agent,2793,2024-01-14T13:44:00+00:00
new york,5,5,bus,family,3,23442.15,25544.27,286971.38,333947.22,traveler,2794,2024-01-14T13:51:00+00:00
singapore,3,8,flight,friends,1,17191.79,17397.74,379682.08,447409.95,traveler,2795,2024-01-14T13:58:00+00:00
paris,9,1,train,solo,1,8465.22,10177.18,140318.56,129278.17,traveler,2796,2024-01-14T14:05:00+00:00
bali,12,1,train,solo,4,10405.02,10976.84,115308.08,111164.61,agent,2797,2024-01-14T14:12:00+00:00
tokyo,10,6,flight,family,1,40560.62,44054.76,1109269.34,1118191.69,agent,2798,2024-01-14T14:19:00+00:00
new york,5,3,train,friends,2,14024.33,15573.88,203231.19,203877.23,traveler,2799,2024-01-14T14:26:00+00:00
delhi,4,8,bus,family,1,16026.19,17146.36,48085.93,53391.25,traveler,2800,2024-01-14T14:33:00+00:00
delhi,10,7,train,friends,1,34655.51,44151.55,112109.66,102378.74,traveler,2801,2024-01-14T14:40:00+00:00
dubai,10,7,train,family,1,40095.09,44872.32,593966.46,590872.48,traveler,2802,2024-01-14T14:47:00+00:00
goa,3,3,train,friends,3,5304.96,6743.24,24234.57,22857.22,traveler,2803,2024-01-14T14:54:00+00:00
manali,5,7,bus,family,3,19419.76,22584.58,57723.61,67744.55,traveler,2804,2024-01-14T15:01:00+00:00
tokyo,8,3,bus,family,3,15337.21,15459.32,282841.17,315819.04,agent,2805,2024-01-14T15:08:00+00:00
jaipur,4,5,bus,family,1,10445.18,12178.83,28060.9,29099.15,traveler,2806,2024-01-14T15:15:00+00:00
manali,12,8,bus,friends,2,37150.5,32256.01,148416.51,136599.18,traveler,2807,2024-01-14T15:22:00+00:00
new york,10,2,train,friends,2,16704.92,20385.57,253803.17,271540.8,traveler,2808,2024-01-14T15:29:00+00:00
new york,9,1,train,solo,1,9048.96,8606.05,114903.03,123853.48,traveler,2809,2024-01-14T15:36:00+00:00
delhi,6,4,train,family,3,17003.62,19621.78,39790.94,41416.46,traveler,2810,2024-01-14T15:43:00+00:00
singapore,4,1,bus,solo,2,3493.41,4264.89,37307.7,42781.0,traveler,2811,2024-01-14T15:50:00+00:00
paris,12,4,train,family,3,51261.17,59717.18,725469.5,757474.76,traveler,2812,2024-01-14T15:57:00+00:00
manali,11,3,train,friends,1,15658.7,19582.8,59493.74,67579.94,traveler,2813,2024-01-14T16:04:00+00:00
