destination,number_of_days,number_of_people,travel_mode,estimated_cost
New York,8,8,train,828718.58
New York,9,6,train,692348.14
Goa,9,4,train,85290.31
New York,3,5,flight,295763.45
Singapore,3,5,bus,145593.29
Delhi,7,1,flight,15351.97
Jaipur,12,6,train,105631.1
Singapore,6,4,flight,342209.72
Goa,10,5,bus,100384.31
Manali,7,7,train,91914.02
Singapore,2,8,flight,271993.16
Goa,8,4,bus,65135.51
Jaipur,9,4,flight,73144.42
Bali,9,8,train,700884.67
New York,5,7,flight,639127.85
Tokyo,9,1,train,124091.19
Goa,6,1,train,14766.24
New York,7,4,train,366381.72
Paris,10,5,train,774139.21
Dubai,2,3,bus,54833.99
New York,11,7,train,969916.04
Paris,3,7,bus,314665.47
New York,11,8,flight,1527720.0
Delhi,4,2,flight,18862.39
Mumbai,11,8,bus,141255.71
Delhi,8,5,bus,54702.11
Singapore,10,2,train,199663.52
Bali,2,3,train,72322.11
Paris,8,3,bus,316275.32
Paris,9,2,train,283670.76
Jaipur,4,4,train,25987.04
Singapore,9,3,flight,372120.16
Manali,11,4,flight,107642.49
Tokyo,6,4,bus,298260.34
Tokyo,3,7,flight,452539.9
Bali,7,8,train,550183.58
Mumbai,3,5,flight,44854.38
Tokyo,7,5,train,498936.09
Goa,8,4,bus,65478.36
Paris,9,7,flight,1309733.89
Dubai,3,7,flight,279629.49
Jaipur,4,5,flight,43992.25
Singapore,3,4,train,138330.83
Bali,3,6,bus,168818.64
Bali,7,7,train,477104.08
Jaipur,10,1,train,14698.3
Singapore,12,8,train,956890.78
Paris,5,7,bus,480298.96
Delhi,4,6,flight,56918.99
Tokyo,9,2,bus,213574.84
Jaipur,9,3,train,40919.61
Goa,4,1,flight,13644.99
Manali,3,7,bus,36451.89
Mumbai,12,5,bus,96600.22
Goa,5,1,flight,16796.76
Tokyo,2,2,train,69293.45
Tokyo,2,1,bus,29521.81
Jaipur,5,6,bus,39977.91
Mumbai,8,1,bus,13169.83
Jaipur,12,2,bus,30521.34
Delhi,12,3,flight,76081.14
Paris,10,2,train,307207.04
Singapore,5,4,flight,288932.54
Paris,3,4,bus,177817.43
New York,4,1,train,56057.78
Mumbai,8,4,train,61757.03
Singapore,6,6,bus,318010.42
Jaipur,8,5,flight,81741.46
Delhi,10,3,train,48584.98
Dubai,7,7,flight,585706.09
Goa,7,3,flight,68696.67
New York,12,8,bus,1027133.67
Dubai,11,8,train,745846.63
Jaipur,10,1,bus,12491.46
Delhi,6,4,flight,53749.46
Jaipur,11,2,bus,27425.52
Tokyo,6,4,bus,292834.36
Singapore,2,4,flight,136344.98
Tokyo,7,3,train,296716.88
Mumbai,10,7,flight,182855.99
Mumbai,5,6,train,60548.16
Bali,2,4,flight,129548.36
Jaipur,11,7,flight,153304.77
Tokyo,12,1,bus,141333.53
Delhi,5,1,flight,11610.13
Jaipur,4,2,bus,11097.75
Jaipur,5,2,train,15926.78
Manali,4,4,bus,26815.73
Dubai,5,5,train,226518.14
Singapore,5,5,train,264993.6
New York,8,7,bus,617067.37
Paris,10,7,bus,927638.59
Tokyo,2,7,train,243711.32
Manali,11,3,flight,80755.64
Manali,8,8,train,117476.26
Paris,10,8,bus,1044836.43
Tokyo,5,3,bus,184511.53
Bali,7,8,train,557834.12
Paris,7,7,train,771998.1
Dubai,3,7,bus,176306.87
Delhi,8,3,bus,33347.25
Manali,7,8,flight,141248.22
Mumbai,12,7,train,160516.88
Jaipur,9,1,train,13563.08
Singapore,2,3,train,75763.89
Singapore,4,5,bus,188319.09
Singapore,4,1,bus,37853.99
Singapore,8,7,flight,778561.0
Delhi,10,4,train,63259.38
Paris,6,5,flight,660000.77
Singapore,8,5,flight,553210.38
Delhi,3,6,bus,27729.01
Jaipur,8,5,bus,52219.48
Tokyo,2,2,bus,59045.95
Paris,10,7,flight,1450049.9
Paris,4,3,train,200372.0
Goa,5,8,bus,84530.63
Delhi,9,4,bus,48773.45
Goa,5,5,train,62039.49
Dubai,3,3,bus,73997.88
Paris,3,5,bus,223866.1
Dubai,5,8,train,363474.58
Delhi,2,1,train,5000
Mumbai,12,1,bus,19186.74
Mumbai,8,5,train,77787.48
New York,11,7,train,974806.51
New York,7,4,train,369018.5
Paris,11,1,train,170815.66
Delhi,2,8,flight,42803.54
Goa,2,2,flight,15636.86
Jaipur,7,8,flight,116314.07
Tokyo,10,7,flight,1296103.77
Singapore,7,1,flight,97699.79
Mumbai,7,8,bus,93935.91
Paris,11,2,train,337119.4
Tokyo,12,2,flight,442481.26
Dubai,5,3,flight,185126.2
Bali,2,3,train,72187.13
Manali,12,8,bus,147973.05
Delhi,9,4,bus,48789.25
Singapore,3,2,train,70376.44
Mumbai,4,6,train,50621.22
Jaipur,6,8,flight,99411.1
Goa,10,8,bus,160736.6
New York,5,2,flight,182199.03
Paris,12,7,bus,1082327.43
Delhi,6,2,bus,16748.48
Dubai,5,2,flight,121555.76
New York,8,1,train,102435.71
Bali,5,7,train,354024.06
New York,12,3,flight,617810.02
Dubai,5,2,train,89068.92
Tokyo,7,3,train,301368.26
Tokyo,12,8,bus,1121663.94
Goa,12,1,flight,37367.78
Bali,3,5,flight,222229.57
Singapore,5,8,train,432029.74
Paris,2,6,bus,197895.14
Jaipur,5,1,bus,6795.46
Paris,6,3,bus,246237.4
New York,8,8,train,836820.18
Paris,3,5,train,266183.98
Jaipur,10,7,bus,87732.17
Dubai,2,5,train,106491.74
Dubai,4,8,flight,401548.37
Goa,5,4,flight,66509.15
Singapore,2,6,flight,206096.2
Delhi,12,3,train,57694.17
Paris,12,3,bus,462065.49
Tokyo,4,1,bus,52122.83
Singapore,7,7,bus,434063.4
Paris,5,1,bus,69094.87
Tokyo,6,3,flight,352698.0
Singapore,12,2,train,242981.08
Singapore,8,5,flight,557230.49
New York,2,2,bus,53383.12
Tokyo,12,4,bus,560586.82
Dubai,9,5,flight,524935.7
Dubai,4,7,train,264305.64
Paris,6,3,bus,244594.55
Bali,4,7,flight,389784.54
Bali,10,8,bus,652149.58
Dubai,10,2,bus,146863.48
Delhi,4,3,bus,17815.45
New York,3,1,bus,37313.86
Singapore,4,2,flight,118402.15
Mumbai,3,2,flight,17631.81
Bali,4,7,flight,389551.28
Manali,2,5,flight,30439.86
Goa,11,8,flight,275250.6
New York,11,4,flight,745838.52
Mumbai,5,1,bus,8551.57
Jaipur,4,4,flight,35005.37
Goa,11,7,bus,152726.56
Manali,8,3,train,44056.86
Manali,12,7,flight,201047.23
Jaipur,3,5,flight,34696.15
Jaipur,7,3,train,32439.96
New York,8,7,bus,626207.46
Jaipur,3,5,bus,21738.0
Singapore,10,7,bus,598909.49
Delhi,7,6,train,68119.49
Jaipur,6,1,bus,7884.34
Jaipur,8,2,bus,20386.73
Manali,11,8,bus,134791.01
Dubai,6,5,flight,354780.74
Mumbai,4,6,train,49738.9
Singapore,10,7,train,710186.29
Manali,2,3,flight,18040.74
Paris,11,5,bus,726943.62
Singapore,7,4,flight,393724.8
Tokyo,4,8,train,487930.19
Bali,6,5,train,299434.89
Jaipur,6,2,train,18567.78
New York,3,2,bus,74973.67
Delhi,4,1,bus,5972.04
Bali,9,1,train,87311.26
Goa,9,8,flight,230557.36
Singapore,10,2,train,199399.13
Jaipur,2,7,flight,35095.6
New York,5,1,flight,91389.0
Goa,12,4,bus,93415.92
Goa,10,6,bus,119215.98
Paris,4,6,bus,342195.88
Singapore,5,2,train,106703.25
Manali,6,4,bus,38711.47
Dubai,8,4,train,280363.32
Singapore,10,1,train,102366.32
Tokyo,2,6,bus,176303.94
New York,6,6,bus,400938.23
Goa,8,6,bus,95892.26
Tokyo,5,2,flight,198400.19
Goa,8,2,train,37496.99
Singapore,6,4,train,251906.72
Manali,7,7,bus,77464.31
Manali,3,8,flight,67696.25
Goa,4,6,flight,82698.83
New York,5,2,bus,114516.23
Goa,8,7,flight,178922.9
Mumbai,4,4,train,33941.72
Manali,3,7,train,43500.31
Singapore,4,6,train,265064.78
Paris,4,2,bus,115629.04
Goa,4,6,flight,81653.98
Singapore,5,1,flight,73178.26
Paris,11,1,train,168824.62
Manali,9,2,train,32561.71
Goa,10,3,bus,59354.21
Delhi,6,4,flight,54383.09
Jaipur,9,2,flight,36729.19
Dubai,4,4,flight,201656.85
Goa,5,2,bus,21068.42
Manali,5,3,train,28398.04
Jaipur,3,1,train,5095.79
Manali,12,4,bus,72757.65
Tokyo,2,7,flight,321173.71
Delhi,6,6,train,60645.4
Paris,5,6,bus,413828.41
Mumbai,2,6,bus,24170.32
Manali,11,2,train,39235.5
Tokyo,7,6,train,589745.97
Singapore,2,3,train,75209.08
New York,11,6,bus,716193.72
Jaipur,11,7,bus,98171.75
Goa,12,2,bus,47433.86
Singapore,5,4,flight,289373.45
Delhi,3,6,train,33072.08
Jaipur,10,3,bus,37596.0
Paris,10,5,flight,1057226.45
New York,9,2,train,228596.44
Paris,10,1,bus,131651.7
Goa,6,1,flight,19490.26
Jaipur,8,8,flight,130915.4
Bali,3,3,train,99291.28
Paris,10,7,train,1084452.01
Jaipur,4,1,bus,5545.44
Dubai,2,8,flight,230387.02
Bali,6,5,bus,252808.58
Manali,10,2,bus,30523.59
Bali,5,5,bus,217017.68
Manali,4,5,bus,33739.79
Jaipur,5,2,bus,13506.97
Singapore,11,6,train,655747.64
Bali,6,3,train,181695.64
Manali,7,1,flight,17723.15
New York,5,5,bus,286040.63
Mumbai,10,2,flight,52140.62
Paris,12,5,flight,1243107.34
Bali,5,8,bus,343957.01
Jaipur,11,7,bus,96887.45
Paris,7,3,train,328718.72
Goa,9,3,bus,53631.18
Tokyo,4,5,bus,255449.33
Goa,8,4,bus,64010.06
Paris,5,8,flight,897275.77
Delhi,10,3,flight,65184.85
Mumbai,11,2,train,41794.04
Delhi,2,1,bus,5000
Delhi,6,3,flight,40519.51
Mumbai,3,6,flight,52554.39
Goa,9,8,bus,143529.8
Tokyo,4,4,bus,205798.38
Manali,12,2,bus,36914.86
Delhi,10,5,bus,67917.26
Paris,4,1,bus,56492.85
Paris,8,3,train,378028.79
Jaipur,12,7,flight,169288.61
Delhi,9,3,bus,36606.2
Manali,7,2,flight,34938.34
New York,3,1,flight,58511.09
Paris,10,6,flight,1238885.65
Paris,4,5,flight,459454.61
New York,3,5,train,220062.58
Manali,3,1,bus,5318.2
Goa,7,3,train,50409.26
Tokyo,3,2,flight,127836.17
Manali,4,2,train,16044.67
Goa,8,6,train,114160.15
Tokyo,8,6,bus,578693.29
Singapore,5,7,train,376281.14
Bali,10,8,flight,1036304.6
Jaipur,8,2,flight,32907.82
Bali,11,4,flight,559179.16
New York,2,4,bus,107673.68
Tokyo,4,2,bus,104033.21
New York,4,5,train,276021.45
Bali,8,4,bus,267293.13
Mumbai,4,2,flight,22737.28
Paris,2,7,train,265376.79
Delhi,12,2,train,38334.17
Goa,2,3,train,17301.78
Jaipur,3,1,flight,6967.02
Paris,4,3,train,203752.97
Bali,6,8,train,481996.81
Tokyo,12,1,train,162532.18
Mumbai,12,1,flight,30971.09
Bali,4,1,train,42267.68
Singapore,9,5,flight,618841.01
Jaipur,8,3,train,36845.66
Bali,8,3,flight,312567.09
Dubai,2,4,train,83995.32
Bali,11,2,flight,282826.93
New York,12,7,train,1051915.27
New York,12,7,bus,896975.67
Delhi,3,6,flight,44718.42
New York,2,4,train,125913.09
Delhi,3,4,flight,29131.26
Manali,5,4,flight,52534.84
Jaipur,6,2,flight,25185.86
Dubai,9,1,bus,65254.98
Manali,2,6,train,27401.99
Bali,5,6,train,307165.72
Goa,12,2,train,55505.19
Bali,3,3,bus,83986.57
Paris,9,1,train,138502.9
Singapore,9,2,flight,244502.41
Jaipur,5,3,flight,31709.74
Bali,10,6,train,580023.18
New York,6,6,flight,653282.42
Paris,2,7,bus,226631.59
Dubai,11,2,bus,158757.99
Tokyo,3,1,bus,40654.74
Manali,10,2,train,35769.09
New York,4,5,bus,234077.69
Dubai,7,6,bus,308104.27
Tokyo,6,8,train,697059.76
Tokyo,12,3,bus,425281.44
Tokyo,2,6,train,206085.72
Dubai,12,3,train,302386.2
Dubai,7,6,bus,313826.06
Bali,9,5,flight,578194.48
Singapore,2,4,flight,137255.11
Mumbai,4,2,train,16677.64
Dubai,8,2,bus,117245.52
Tokyo,12,2,train,328563.31
Singapore,10,8,bus,679441.5
Delhi,8,7,bus,76973.17
Delhi,7,6,flight,92909.28
Tokyo,3,5,train,233963.72
Goa,9,3,flight,85242.41
Dubai,2,7,bus,127791.65
New York,8,8,bus,696397.5
Mumbai,12,7,train,158204.48
Goa,3,3,bus,20337.61
Delhi,6,8,train,79859.32
Singapore,6,3,bus,159126.56
Paris,7,5,bus,467168.64
Paris,9,8,flight,1519750.76
Goa,8,6,flight,154468.17
Mumbai,10,4,bus,65613.5
Dubai,11,3,train,280976.16
New York,2,3,train,96641.59
Tokyo,7,2,flight,267760.9
Bali,2,8,bus,162833.39
Singapore,11,2,bus,186559.29
Jaipur,8,3,flight,48865.34
New York,5,4,flight,366963.94
Mumbai,7,6,bus,69809.73
Manali,10,2,flight,48882.23
Tokyo,8,7,train,783660.04
Bali,8,6,bus,402113.26
Tokyo,8,6,bus,574402.62
Goa,10,7,train,162952.27
Singapore,12,7,flight,1128269.11
Dubai,3,2,bus,49028.89
Mumbai,11,7,bus,124758.04
Dubai,10,2,flight,229654.25
Dubai,2,5,train,105083.75
Tokyo,10,7,bus,816253.78
Tokyo,3,6,train,283956.38
Singapore,8,1,train,82870.68
Bali,6,5,flight,401133.32
Paris,12,4,bus,631132.24
Paris,2,1,bus,32321.61
New York,10,6,train,759218.13
Dubai,8,4,flight,378988.02
Jaipur,11,7,bus,97921.78
Dubai,8,3,flight,279338.6
Goa,8,6,flight,152563.54
Jaipur,3,3,flight,20458.56
Dubai,8,5,flight,462322.31
New York,5,2,bus,113619.76
Mumbai,12,3,bus,58269.22
Bali,3,7,bus,196878.51
Goa,9,6,bus,107427.57
Jaipur,6,4,flight,50787.48
Paris,6,1,train,95218.62
Goa,12,1,flight,38116.92
Delhi,3,8,flight,58460.68
Goa,6,5,bus,61417.9
Tokyo,7,4,train,393034.42
Mumbai,8,2,train,31569.0
Delhi,5,7,train,60018.59
Singapore,9,3,bus,232359.89
Goa,12,1,bus,23993.24
New York,9,1,bus,98494.22
Manali,3,4,flight,33034.1
Mumbai,10,3,bus,49421.52
Delhi,5,1,train,8383.11
Delhi,4,5,train,34855.72
Delhi,7,5,train,57797.04
Tokyo,8,7,bus,664061.29
Jaipur,12,5,train,87495.09
Dubai,6,3,bus,137506.72
Tokyo,8,8,train,902199.75
Manali,7,2,flight,34990.3
Jaipur,11,6,train,99028.14
Delhi,9,3,bus,37418.52
Manali,11,7,train,139067.05
Singapore,10,6,train,598489.5
Goa,7,7,bus,99711.14
Delhi,5,6,train,50308.51
New York,3,1,train,44047.42
New York,5,8,flight,738725.58
Jaipur,10,2,train,29626.42
Jaipur,10,4,bus,50786.71
Dubai,12,2,flight,276458.75
Paris,12,7,train,1296046.72
Jaipur,5,1,train,7909.68
Manali,8,2,bus,24963.09
Dubai,7,7,bus,364974.76
Manali,2,1,train,5000
Paris,2,1,train,38591.89
Delhi,9,2,train,29143.9
Manali,7,6,train,77046.28
New York,9,1,train,115099.79
Tokyo,9,2,train,254194.6
Delhi,2,4,bus,13646.96
Goa,3,6,flight,65480.58
Jaipur,4,2,bus,11141.41
New York,10,1,flight,174434.81
Manali,2,2,bus,7761.23
Delhi,6,6,flight,81070.8
Paris,6,3,bus,246499.34
Delhi,4,6,bus,35842.53
Paris,12,8,flight,1958547.76
Bali,5,8,flight,549016.96
Manali,7,8,bus,87351.04
Manali,3,6,flight,50766.44
Jaipur,12,4,flight,94423.32
Tokyo,2,4,bus,117729.12
Tokyo,8,4,train,444463.59
Jaipur,11,6,train,98472.15
Singapore,4,2,bus,74463.94
New York,8,8,flight,1121492.81
Paris,5,2,train,163471.97
Singapore,6,2,bus,107271.7
Delhi,3,4,bus,18835.08
Goa,6,1,train,14701.05
Tokyo,7,5,bus,428075.89
Delhi,7,7,bus,67560.62
Bali,8,6,bus,396336.3
New York,3,1,flight,58921.61
Paris,5,5,bus,347164.83
Dubai,6,8,flight,573414.88
Singapore,2,4,bus,84874.92
Mumbai,2,5,bus,20008.46
Delhi,6,4,flight,54187.4
Paris,8,7,bus,740007.51
Manali,9,4,bus,56255.11
New York,12,5,flight,1027610.63
Mumbai,3,3,flight,26934.01
Dubai,9,5,flight,517013.84
New York,12,2,bus,255639.48
Tokyo,4,1,flight,81545.32
New York,2,3,train,96491.16
Goa,12,1,flight,37403.85
Tokyo,11,1,train,153145.72
Tokyo,3,1,bus,40413.89
Manali,5,3,bus,24695.0
Delhi,6,6,train,59833.23
New York,10,5,flight,862300.45
New York,9,1,train,115109.14
New York,10,8,bus,863041.99
Bali,12,1,bus,98162.07
Jaipur,12,3,train,53126.54
Jaipur,11,7,train,113164.07
Delhi,5,7,flight,79146.74
Manali,12,8,flight,229989.19
Singapore,7,6,train,437216.19
Manali,6,4,bus,38528.69
New York,11,2,train,282077.25
Dubai,7,5,bus,263763.27
Tokyo,12,3,train,496027.75
Bali,6,3,train,179479.03
Delhi,6,1,train,9837.63
Manali,11,2,bus,33656.75
Mumbai,8,6,flight,127381.11
Mumbai,6,3,train,36318.0
Bali,12,3,bus,292174.35
Goa,5,7,flight,118937.41
Manali,5,1,train,9729.75
Jaipur,12,7,train,123594.79
Delhi,6,5,flight,66948.95
Dubai,8,6,flight,554452.53
Jaipur,6,3,train,27975.48
Manali,6,2,train,22655.22
Singapore,9,3,train,277355.06
Paris,3,3,flight,213972.65
New York,10,6,train,763445.88
Tokyo,8,7,train,775996.23
Bali,2,7,bus,142996.74
Dubai,6,4,flight,287385.2
Goa,11,5,bus,109761.89
Paris,4,7,flight,627722.54
Bali,9,1,bus,72836.29
Singapore,3,6,flight,277475.17
Manali,11,8,flight,212811.53
Mumbai,3,1,flight,8791.02
Goa,10,8,bus,158002.62
Singapore,12,3,train,361912.01
Mumbai,9,4,bus,58291.09
Goa,11,2,flight,68364.08
Jaipur,3,8,bus,35094.85
Tokyo,8,1,bus,95008.79
Tokyo,4,4,flight,324082.36
Dubai,12,8,flight,1096801.49
Paris,4,1,bus,56695.19
Singapore,5,3,flight,218959.77
Bali,5,8,train,404237.6
Singapore,3,8,train,278795.6
Paris,8,2,train,250224.6
Paris,4,1,train,67338.19
Dubai,8,1,flight,92867.22
Singapore,12,8,bus,827195.06
New York,4,8,flight,601887.0
Mumbai,4,6,flight,68520.75
Bali,5,6,flight,412194.6
Bali,3,3,flight,131651.15
Singapore,11,6,train,668336.75
Goa,6,5,train,72202.44
Singapore,9,7,train,643762.64
Goa,11,5,bus,109573.77
Dubai,11,6,flight,757580.53
Paris,3,1,bus,45461.35
Goa,5,2,flight,33164.53
Singapore,9,6,bus,474293.74
Jaipur,3,3,flight,20939.17
Paris,3,1,flight,70913.92
Mumbai,3,8,train,52727.98
Mumbai,4,6,bus,42941.49
Paris,4,4,bus,227542.82
Tokyo,12,5,bus,692647.3
Goa,8,4,bus,64861.38
Singapore,12,2,bus,201436.76
Goa,2,6,train,35051.67
Delhi,7,3,flight,46794.39
Singapore,10,8,bus,694850.7
Dubai,9,6,train,464846.38
Bali,4,2,train,83517.98
Paris,3,2,bus,90734.71
Manali,3,2,train,12309.69
Dubai,10,6,bus,430922.45
Manali,6,7,flight,106376.84
Goa,6,2,flight,39590.3
Bali,11,5,train,526115.99
Bali,3,8,train,264008.08
Mumbai,7,7,train,95523.97
Mumbai,4,4,flight,45627.51
New York,12,1,bus,129005.05
Dubai,11,1,train,94545.03
Paris,11,2,flight,455807.03
Goa,6,1,bus,12262.25
Bali,5,6,train,304894.9
Jaipur,2,1,bus,5000
Jaipur,10,7,flight,141675.55
Mumbai,10,8,bus,129914.58
Paris,4,7,flight,635767.67
Goa,3,8,bus,55254.57
New York,7,4,train,366500.76
Mumbai,5,4,bus,34669.93
Jaipur,8,1,bus,10408.76
Jaipur,2,2,bus,6236.37
Goa,6,1,train,14564.02
Singapore,5,5,bus,228845.02
Tokyo,12,2,flight,438377.84
Manali,10,4,train,72865.94
New York,5,8,flight,727906.29
New York,10,5,flight,856030.17
Manali,7,2,bus,22006.78
Paris,11,8,train,1334309.36
Goa,10,4,train,94400.15
Jaipur,3,6,flight,41783.86
Goa,2,4,flight,31425.59
Tokyo,3,1,train,47928.76
Manali,6,7,train,79911.74
Delhi,2,5,flight,26737.83
Mumbai,8,7,train,107500.38
Jaipur,8,3,flight,48944.1
Mumbai,12,5,bus,96893.12
New York,2,6,train,192575.83
Dubai,5,1,train,45506.17
Dubai,8,7,flight,662347.7
Mumbai,3,7,flight,62892.02
Manali,10,8,train,145155.47
Dubai,10,5,bus,367100.29
Tokyo,5,3,bus,186065.27
Singapore,6,2,bus,108271.73
Manali,7,7,bus,77647.98
New York,6,5,flight,543663.64
Dubai,2,2,train,42487.06
New York,6,3,train,239132.29
Tokyo,2,8,bus,237534.15
Tokyo,12,4,train,649089.11
Delhi,6,6,bus,50781.6
Manali,6,5,train,55892.86
Singapore,4,3,flight,179745.93
Jaipur,3,1,bus,5000
Tokyo,11,6,bus,773632.56
Jaipur,2,5,train,18280.72
New York,10,1,flight,171156.82
Delhi,3,8,bus,37242.33
Jaipur,5,6,flight,63823.74
Singapore,8,2,flight,221383.11
Manali,4,1,train,7930.37
New York,7,7,flight,864249.44
Manali,11,1,bus,16767.74
Manali,4,1,bus,6741.23
New York,10,6,bus,649410.9
Dubai,2,3,train,64101.06
Singapore,3,2,bus,59063.16
Dubai,12,7,flight,963026.13
Bali,2,8,flight,257768.92
Tokyo,7,5,bus,426923.05
Manali,5,6,bus,49424.91
New York,5,8,train,546438.52
Delhi,5,8,flight,92786.55
Paris,7,2,train,222252.37
Delhi,7,8,flight,122927.47
Paris,5,3,flight,329257.45
Paris,12,3,flight,737528.79
Manali,7,6,bus,65492.8
Paris,10,3,flight,625312.43
Jaipur,4,8,bus,43825.46
Paris,6,8,flight,1028924.42
Mumbai,8,1,flight,20809.47
Delhi,4,7,train,48611.69
Paris,10,4,flight,828726.32
New York,7,2,flight,244478.48
New York,9,7,flight,1092660.45
Paris,6,8,flight,1029974.46
Goa,11,2,bus,44088.1
Dubai,11,6,flight,758303.66
Paris,7,8,bus,754486.13
Dubai,6,2,bus,89890.17
New York,2,7,train,221416.66
New York,4,3,bus,143630.32
Jaipur,8,5,flight,82673.34
New York,3,6,train,260163.53
Manali,6,8,train,89690.16
Goa,6,5,flight,99503.42
Jaipur,12,5,bus,74355.2
Bali,10,3,bus,245138.96
Mumbai,10,4,bus,65155.25
Mumbai,7,4,train,55810.04
Dubai,8,8,flight,738978.63
Tokyo,6,2,flight,234859.76
Delhi,9,7,train,100604.75
Goa,6,2,train,29526.54
Jaipur,3,6,bus,26066.52
Manali,9,2,flight,44543.23
Mumbai,8,2,flight,42410.03
New York,5,1,flight,91879.51
Jaipur,4,7,bus,38935.94
Manali,9,3,train,49678.41
Tokyo,6,3,bus,221338.81
Delhi,10,4,bus,54207.98
Tokyo,10,4,flight,740410.47
Paris,6,7,flight,913509.75
Singapore,7,8,flight,788585.44
Goa,6,4,train,58814.9
Tokyo,12,7,flight,1547391.58
Tokyo,6,2,bus,145255.95
Manali,8,8,train,116748.51
Paris,3,3,train,160948.54
Singapore,3,6,flight,280008.8
Goa,9,8,flight,228678.71
Jaipur,2,5,train,18554.17
Paris,2,6,train,231760.31
Paris,8,8,train,1000350.05
Mumbai,6,8,flight,128186.0
Singapore,2,5,train,125534.43
Dubai,4,4,flight,198531.61
Dubai,11,6,bus,476816.7
Mumbai,2,7,bus,28620.27
New York,7,2,flight,244508.05
Jaipur,7,4,bus,36783.4
Paris,5,5,bus,352470.71
New York,8,4,flight,564443.66
Mumbai,2,1,flight,6362.71
Paris,9,1,bus,118162.3
Mumbai,5,4,bus,34341.96
Delhi,8,7,bus,77938.44
Manali,3,2,bus,10549.93
Paris,2,1,flight,52387.69
Dubai,4,2,flight,100705.75
Paris,5,5,train,408705.22
Mumbai,6,5,train,59316.14
Manali,12,8,train,170962.54
Delhi,5,7,flight,79556.7
Manali,10,4,train,71371.1
Tokyo,8,6,flight,916708.44
Tokyo,5,1,train,74047.6
Tokyo,7,8,flight,1061459.62
Manali,7,3,flight,53422.09
Delhi,10,3,bus,41182.1
Tokyo,11,4,bus,509389.31
Dubai,9,4,bus,264585.68
Manali,8,5,flight,98775.96
Goa,2,6,flight,47315.53
Paris,2,5,flight,257106.21
Bali,9,8,train,704377.3
Jaipur,7,8,flight,115609.0
Bali,3,2,train,66092.73
Paris,4,1,bus,57345.53
Delhi,4,4,train,28209.48
Delhi,2,7,train,27550.14
Bali,9,3,flight,355691.32
Paris,8,1,train,123986.06
Manali,12,5,flight,144385.28
New York,11,3,bus,354246.22
Singapore,5,6,flight,436130.73
Tokyo,9,4,train,508229.26
Goa,4,8,bus,69183.53
Goa,4,8,bus,70593.5
Mumbai,6,4,bus,40934.92
Bali,9,6,bus,437102.98
Tokyo,11,3,bus,384464.86
Bali,5,6,flight,405881.32
Jaipur,6,5,train,46667.96
Manali,7,7,train,91201.9
Singapore,12,4,bus,409730.56
Delhi,5,5,bus,35762.59
Delhi,4,7,train,48935.82
Dubai,11,5,flight,636108.24
Singapore,9,4,bus,307044.55
Jaipur,5,2,flight,21130.5
Goa,9,1,train,20961.09
Mumbai,4,8,train,67291.14
New York,6,2,bus,135904.78
Paris,8,8,train,997733.65
Bali,7,2,flight,187803.35
Goa,12,5,flight,185839.95
Paris,10,8,train,1242630.79
Manali,12,2,flight,58759.85
Singapore,7,3,bus,187356.85
Tokyo,12,6,flight,1329011.05
Dubai,10,4,train,339513.88
Mumbai,5,8,train,81423.47
Mumbai,11,5,train,103573.27
New York,6,1,flight,106996.45
Singapore,6,8,train,498484.88
Manali,6,1,flight,15409.79
Tokyo,11,8,train,1199742.23
Singapore,10,2,bus,171324.3
Dubai,4,3,bus,93672.8
Delhi,2,8,flight,43201.22
New York,3,5,bus,187016.19
Mumbai,7,6,flight,110430.15
Dubai,7,1,flight,82380.0
Singapore,12,1,bus,101207.78
Bali,4,5,bus,176115.46
Mumbai,6,4,flight,64648.6
Goa,12,1,train,27641.11
New York,3,6,train,263337.48
Delhi,11,8,bus,117462.01
Delhi,4,2,bus,11792.58
Singapore,2,3,bus,63652.24
New York,9,2,flight,316817.48
Manali,12,4,flight,117018.27
Goa,6,1,train,14720.38
Goa,6,3,flight,58923.62
Jaipur,5,5,bus,33291.86
Manali,6,8,train,89334.13
New York,11,6,train,845653.93
Bali,9,3,bus,224455.09
Dubai,8,3,flight,280837.71
Paris,7,5,bus,469199.23
Bali,10,5,bus,407524.7
Jaipur,6,4,train,36972.82
Delhi,10,3,train,47407.14
Dubai,7,6,flight,493904.33
Dubai,2,6,flight,169683.12
New York,2,3,train,95329.87
New York,12,2,bus,261258.52
Manali,4,8,flight,84570.19
Mumbai,9,8,flight,188023.52
Paris,8,8,bus,846559.2
New York,11,6,train,843293.18
Manali,2,4,flight,24040.81
Paris,6,7,flight,898328.6
Bali,4,5,flight,286430.2
Bali,5,3,bus,130303.16
Mumbai,3,5,bus,28175.05
Tokyo,8,3,train,332298.28
Goa,5,3,train,37074.68
Goa,5,4,train,49108.69
Jaipur,4,6,bus,33178.43
New York,3,8,flight,475690.72
Jaipur,9,7,train,95155.08
Delhi,8,3,train,39232.17
Goa,8,6,train,115275.41
Paris,11,7,flight,1575827.79
Tokyo,12,1,bus,141399.45
Goa,5,6,train,74221.68
Mumbai,11,7,bus,125316.42
Goa,9,4,bus,71556.69
Paris,3,6,train,319017.51
Paris,4,5,train,335980.28
Tokyo,2,5,train,170593.91
Paris,12,2,train,370220.2
New York,12,2,flight,414316.82
